ROOT Styles Loaded from rootlogon.
Beginning new ROOT session.


Processing ALLDrawDist.C...
18.55   18.65
1.1361   756238
18.6309  1.07084e+07   1.00285e+07
18.639  9.13273e+06   8.40769e+06
18.6239  1.26816e+07   1.20552e+07
18.6235  1.17877e+07   1.12139e+07
18.5671  1.1991e+07   1.2857e+07
18.564  1.65259e+07   1.78362e+07
18.5953  1.24315e+07   1.25547e+07
18.6415  8.25956e+06   7.56312e+06
18.59  7.50817e+06   7.66986e+06
18.627  1.08421e+07   1.02393e+07
18.5508  6.14815e+06   6.82501e+06
18.5987  9.24434e+06   9.26974e+06
18.5638  1.25928e+07   1.3597e+07
18.6475  1.31487e+07   1.18889e+07
18.6475  2.73635e+06   2.47417e+06
18.635  1.10901e+07   1.02966e+07
18.6226  5.14216e+06   4.90176e+06
18.6172  1.41625e+07   1.3654e+07
18.6487  1.75763e+07   1.58524e+07
18.6131  8.44203e+06   8.2115e+06
18.6235  1.00085e+07   9.52276e+06
18.5795  9.79605e+06   1.0232e+07
18.643  7.12332e+06   6.50205e+06
18.5524  9.40234e+06   1.04002e+07
18.6462  1.14713e+07   1.04005e+07
18.6232  9.29962e+06   8.85242e+06
18.6195  7.57681e+06   7.26999e+06
18.6201  7.39486e+06   7.08642e+06
18.6047  1.06188e+07   1.05144e+07
18.6233  7.19385e+06   6.84647e+06
18.6143  1.15043e+07   1.11617e+07
18.5603  6.3744e+06   6.93418e+06
18.6255  1.44198e+07   1.36615e+07
18.6338  7.71208e+06   7.17939e+06
18.6309  7.8685e+06   7.36902e+06
18.5535  7.99945e+06   8.82844e+06
18.5777  2.57176e+06   2.69647e+06
18.5932  7.83828e+06   7.95132e+06
18.5839  1.23862e+07   1.28163e+07
18.6077  4.9657e+06   4.88562e+06
18.5533  8.94287e+06   9.87417e+06
18.5762  1.3994e+07   1.47184e+07
18.6234  7.99047e+06   7.60369e+06

18.6  192
9.06949e+06  9.09817e+06
2.93535e+06  2.84239e+06
18.65   18.75
1.12211   1.14777e+06
18.6799  7.74533e+06   8.08314e+06
18.6896  9.89167e+06   1.01113e+07
18.6853  5.03288e+06   5.19276e+06
18.6681  9.01528e+06   9.64618e+06
18.6564  6.74163e+06   7.39406e+06
18.6752  1.18075e+07   1.24439e+07
18.6559  9.31713e+06   1.02307e+07
18.7437  1.23662e+07   1.12717e+07
18.7033  5.69526e+06   5.65514e+06
18.6837  1.16984e+07   1.21109e+07
18.6654  1.01945e+07   1.09705e+07
18.6664  1.11309e+07   1.19531e+07
18.675  1.40342e+07   1.47994e+07
18.6986  9.52637e+06   9.55513e+06
18.6663  1.27338e+07   1.3677e+07
18.6598  1.19068e+07   1.29676e+07
18.6924  1.13896e+07   1.15739e+07
18.6555  9.80941e+06   1.07802e+07
18.7331  1.20763e+07   1.12572e+07
18.6673  9.10289e+06   9.75728e+06
18.7335  5.49782e+06   5.12062e+06
18.6858  1.31135e+07   1.35152e+07
18.7375  1.28127e+07   1.18341e+07
18.74  7.65761e+06   7.03414e+06
18.7238  1.30979e+07   1.24535e+07
